t,d1,d2,d3
0.0,8.94427190999916,4.47213595499958,5.0
0.20408163265306123,9.194943698195448,4.765079117276987,4.77112251293031
0.40816326530612246,9.434086906728139,5.07131690948577,4.552161425503517
0.6122448979591837,9.658823492394149,5.381514474903527,4.346036573445683
0.8163265306122449,9.866064579629562,5.6873818464332855,4.154680779204345
1.0204081632653061,10.052623039486038,5.98164387454796,3.978914013846584
1.2244897959183674,10.21532894738784,6.257980054623707,3.8184222319383676
1.4285714285714286,10.351142924037768,6.5109671127436,3.6718672036853124
1.6326530612244898,10.457263477265524,6.736036017277704,3.537133438391743
1.836734693877551,10.531225503021263,6.929444684197453,3.4116944527798254
2.0408163265306123,10.570987997280525,7.088263367942509,3.2930622102509606
2.2448979591836737,10.57500974997955,7.210368484256123,3.1792768423173854
2.4489795918367347,10.54231234076862,7.294440680366472,3.069398066452831
2.6530612244897958,10.47253015377704,7.339963491904757,2.9639669904576773
2.857142857142857,10.365947398259294,7.347219504872981,2.8654046159069506
3.0612244897959187,10.223522283537742,7.317281396890397,2.7782880754908907
3.2653061224489797,10.046898560851325,7.251995483892403,2.70939072158383
3.4693877551020407,9.838404610913715,7.153955402168381,2.667305212206321
3.673469387755102,9.601040111227618,7.026463280275904,2.6614605879569617
3.8775510204081636,9.338450037292153,6.873475184835434,2.700515494631015
4.081632653061225,9.054885305726916,6.699526781126281,2.7904996191671216
4.285714285714286,8.755148728049635,6.509634146261567,2.93343045409141
4.4897959183673475,8.44452411130605,6.309163793690282,3.1270166298073456
4.6938775510204085,8.128685384598379,6.103665771020264,3.3654427028863503
4.8979591836734695,7.813581752738932,5.898665085745884,3.6406781662807894
5.1020408163265305,7.505294505779031,5.699410885374849,3.9437095020992676
5.3061224489795915,7.2098619677771785,5.510590857272995,4.265400763633622
5.510204081632653,6.933072141519672,5.336030357901665,4.5969775266788195
5.714285714285714,6.680228886249856,5.178409869771849,4.930250944117045
5.918367346938775,6.4559072713249295,5.039045762948554,5.257700427656914
6.122448979591837,6.263725726032482,4.917781465911189,5.572494891336112
6.326530612244898,6.106172932983277,4.81302405474447,5.8684958610727005
6.530612244897959,5.984530276814422,4.7219357555350925,6.140261949385294
6.73469387755102,5.898920845740757,4.640759046273816,6.3830613879529094
6.938775510204081,5.848492790811228,4.5652297736201275,6.59289336130136
7.142857142857143,5.831714440976665,4.4910237102295225,6.7665166053433525
7.346938775510204,5.846731885616053,4.414189230172796,6.901483228099892
7.551020408163265,5.891726541173439,4.331536222018026,6.996175978982052
7.755102040816327,5.965213794889307,4.240970513135967,7.049847746439431
7.959183673469388,6.06624030083893,4.141777232047493,7.062662658337166
8.16326530612245,6.194459599017481,4.034861992920938,7.035738646462014
8.36734693877551,6.350087097659509,3.9229535772458286,6.97119156623873
8.571428571428571,6.533752703292952,3.810753768853072,6.872180709493329
8.775510204081632,6.746281447965046,3.704986622702957,6.742954436627473
8.979591836734695,6.988439134422678,3.614252023309821,6.588892085140349
9.183673469387756,7.260681063658583,3.54854375898674,6.416533421244389
9.387755102040817,7.562937278420752,3.518298297776601,6.233578679125388
9.591836734693878,7.894458295627102,3.5329687863322676,6.0488300473239605
9.795918367346939,8.253733084413161,3.5993907605304556,5.872030424383904
10.0,8.638478906901035,3.720475114389398,5.71354271572646
